total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
7470396,120429.433962264,2546.45283018868,2487719.54716981,2621436,11525378.4150943,3454491.9245283,8070886.49056604,8,2382679.24528302,468.716981132075,2.88679245283019,3702,20,5737,-61.3107777735849,
7470396,142141.461538462,2526.26923076923,2445455.15384615,2621436,13478979.3653846,2879937.21153846,10599042.1538462,8,2404884.61538462,1305.21153846154,236.019230769231,3674,20,5664,-4911.45067938462,
7470396,174514.916666667,2563.5,2451451.58333333,2621436,14644175.0625,3128706.39583333,11515468.6666667,8,2366000,2129.08333333333,-938.875,3674,20,5339,18416.48941825,
7470396,171033.44,2568.2,2459654.16,2621436,16956797.2,5047345.2,11909452,8,2341040,2942.96,-1011,3705,20,5558,20818.90629,
7470396,148956.905660377,2588.83018867925,2502629.88679245,2621436,15082669,3397770.88679245,11684898.1132075,8,2356188.67924528,3765.7358490566,-791.716981132076,3705,20,5801,17016.1395189623,
7470396,142965.481481482,2587.64814814815,2507128.66666667,2621436,12023676.2777778,2299908.57407407,9723767.7037037,8,2337111.11111111,4619.24074074074,-808.518518518519,3579,20,5754,16650.2794733333,
7470396,131342.943396226,2577.45283018868,2508002.41509434,2621436,11924730.1886792,2688388.90566038,9236341.28301887,8,2262490.56603774,5446.43396226415,-808.018867924528,3579,20,5632,16287.1781433962,
7470396,145252.571428571,2536.45604395604,2452668.65934066,2621436,8303903.71978022,823050.269230769,7480853.45054945,8,2117648.35164835,7151.15934065934,-513.653846153846,3586,20,20011,36859.5154357692,
7470396,141741.295454545,2547.39772727273,2467410.15909091,2621436,8506416.64772727,627931.738636364,7878484.90909091,8,2003852.27272727,9849.30681818182,-184.335227272727,3586,20,19441,12851.008896125,
7470396,138393.508196721,2540.96174863388,2464134.84153005,2621436,7506055.67759563,699552.770491803,6806502.90710383,8,2020043.71584699,12641.8087431694,-276.382513661202,3581,20,20013,19807.3820635738,
7470396,191282.234042553,2613.22340425532,2485243.9787234,2621436,7670120.03723404,760234.25,6909885.78723404,8,1977106.38297872,15554.4468085106,-223.478723404255,3642,20,20675,16827.5791324468,
7470396,241292.927038627,2329.18454935622,2143636.17167382,2621436,10189982.9914163,789427.111587983,9400555.87982833,8,1979570.81545064,18314.8626609442,-426.326180257511,3634,20,26441,40964.2305939742,
7470396,378267.283842795,2311.39737991266,1989142.14847162,2621436,7493939.53275109,774281.96069869,6719657.5720524,8,1932061.13537118,21403.6200873362,-319.812227074236,3638,20,37320,43420.9572398253,
7470396,206872.37944664,2528.86561264822,2383161.37549407,2621436,9192293.11857707,737621.687747036,8454671.43083004,8,1875288.53754941,24282.9209486166,-331.948616600791,3561,20,40590,47980.1816726087,
7470396,293728.603448276,2374.20689655172,2138065.75862069,2621436,8657273.53017241,815738.564655172,7841534.96551724,8,1950000,27483.0689655172,-361.633620689655,3653,20,26075,34446.3165970905,
7470396,529831.562189055,2594.00497512438,2127027.92039801,2621436,7954529.94029851,818413.164179104,7136116.7761194,8,1946378.10945274,30426.9800995025,-271.825870646766,3618,20,21987,21623.466942,
7470396,406567.92,2550.52,2205738.54,2621436,9458727.5,941497.74,8517229.76,8,1943760,33189.475,-442.445,3566,20,22303,35188.75607761,
7470396,395337.390374332,2600.06951871658,2267690.69518717,2621436,8295446.24598931,751242.652406417,7544203.59358289,8,1946106.95187166,35929.9893048128,-679.935828877005,3607,20,20477,50220.4268062674,
7470396,339100.695652174,2595.76086956522,2319526.7173913,2621436,9203422.70652174,739061.923913043,8464360.7826087,8,1951413.04347826,38605.5760869565,-694.684782608696,3614,20,20274,50899.7179673478,
7470396,311215.537572254,2577.84971098266,2329091.37572254,2621436,7969433.78034682,685914.38150289,7283519.39884393,8,1952104.04624277,41461.5895953757,-544.50289017341,3604,20,18841,36973.360149341,
