total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,current,voltage,process,time,energy
3806456,303023.079812207,1498.44600938967,1231832.67605634,1884792,16246900.0187793,5789058.55399061,10457841.4647887,8,1716461.97183099,331.450704225352,4039,1,24224,32429.3808491268
3806456,316336.79245283,1511.00943396226,1231504.52830189,1884792,16244461.6603774,5825496.83018868,10418964.8301887,8,1719305.66037736,332.518867924528,4039,2,23281,31267.4005554057
3806456,314654.862559242,1509.4028436019,1231524.54976303,1884792,16282451.563981,5751307.60189574,10531143.9620853,8,1716443.60189573,343.0663507109,4039,3,23364,32374.2095585403
3806456,313928.528301887,1508.74056603774,1231542.86792453,1884792,16294126.2641509,5798755.58490566,10495370.6792453,8,1714505.66037736,323.877358490566,4039,4,23259,30426.0434002925
3806456,311774.384976526,1506.68544600939,1231660.41314554,1884792,16304843.943662,6010420.61971831,10294423.3239437,8,1710152.11267606,335.732394366197,3935,5,23304,30787.0768715493
3806456,312360.638497653,1507.2676056338,1231684,1884792,16253516.6948357,6067859.53051643,10185657.1643192,8,1710152.11267606,330.253521126761,3935,6,23303,30283.3578540845
3806456,310880.769953052,1506.07042253521,1231731.66197183,1884792,16271995.7934272,5411307.38028169,10860688.4131455,8,1712315.49295775,341.075117370892,3935,7,23396,31400.487210047
3806456,309370.985915493,1504.46478873239,1231792.63849765,1884792,16244996.6948357,5510456.78873239,10734539.9061033,8,1715650.70422535,338.169014084507,3917,8,23404,31001.1262912676
3806456,307016.280373832,1502.39252336449,1232016,1884792,16254617.4205607,4991398.5046729,11263218.9158879,8,1709338.31775701,314.88785046729,3917,9,23365,28818.7580707009
3806456,252608.016806723,1457.47478991597,1240337.74789916,1884792,13672786.5882353,4467134.38655462,9205652.20168067,8,1726628.57142857,319.953781512605,3917,10,30333,38015.1040999538
