total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3806456,263665.892682927,1339.71219512195,1108770.98536585,1884792,14977164.1756098,4969438.12682927,10007726.0487805,8,1700183.41463415,1573.11707317073,302.253658536585,3864,20,24376,28468.9287374049,
3806456,254689.777777778,1331.20444444444,1109051.75111111,1884792,15003512.9955556,4678921.52888889,10324591.4666667,8,1718101.33333333,4691.25777777778,315.413333333333,3864,20,279168,340237.98767616,
3806456,269380.277777778,1345.53240740741,1109026.33333333,1884792,14249616.1111111,4640951.81481481,9608664.2962963,8,1715822.22222222,7650.84259259259,264.393518518519,3796,20,64868,65103.9765701482,
3806456,273745.497630332,1349.88151658768,1109165.08056872,1884792,16264291.6398104,5545030.93838863,10719260.7014218,8,1715442.65402844,10555.2464454976,366.791469194313,3796,20,23191,32289.7666120758,
3806456,279789.264957265,1357.82051282051,1111115.65811966,1884792,10146399.4871795,2566845.60683761,7579553.88034188,8,1730625.64102564,13750.8162393162,146.688034188034,3796,20,1205365,671180.714361111,
3806456,249424.958174905,1332.51330798479,1115636.48669202,1884792,8230932.6539924,1655524.22813688,6575408.42585551,8,1664121.6730038,18176.4258555133,100.71102661597,3739,20,2433315,916285.515818612,
3806456,222292.746887967,1312.53112033195,1122195.85062241,1884792,8416627.58506224,1652130.78838174,6764496.7966805,8,1668647.30290456,22824,100.821576763485,3762,20,2909242,1103448.6434871,
3806456,223053.789473684,1315.43233082707,1124471.77443609,1884792,8363911.60902256,1493072.96240602,6870838.64661654,8,1685052.63157895,27444.030075188,133.996240601504,3795,20,7188692,3655562.98228579,
3806456,212091.264705882,1305.41911764706,1125092.23529412,1884792,8279007.14705882,1605433.91176471,6673573.23529412,8,1657270.58823529,32268.3823529412,57.5147058823529,3795,20,13854362,3023968.16356897,
3806456,198911.818930041,1289.07407407407,1121479.50617284,1884792,8337432.09876543,1575403.0617284,6762029.03703704,8,1674113.58024691,36834.0699588477,128.218106995885,3795,20,1035062,503648.454549506,
3806456,245505.193442623,1333.45573770492,1120496.55081967,1884792,8232414.53114754,1527163.09508197,6705251.43606557,8,1674240,41522.5147540984,71.0524590163934,3795,20,20098377,5419408.41519595,
3806456,219962.827838828,1344.65934065934,1157420.64468864,1884792,8238437.77289377,1795999.17948718,6442438.59340659,8,1684958.24175824,46461.4871794872,159.380952380952,3793,20,7426794,4489734.27675114,
3806456,247104.407272727,1357.14181818182,1143018.99636364,1884792,8396324.24727273,1541815.82545455,6854508.42181818,8,1655040,51117.76,93.4472727272727,3776,20,10799820,3810791.02539404,
3806456,222455.457364341,1346.31782945736,1156634.72868217,1884792,8415413.76744186,1700403.28682171,6715010.48062016,8,1781506.97674419,55797.8837209302,250.542635658915,3792,20,2584967,2455867.73646884,
3806456,271763.382352941,1391.05147058824,1153194.38235294,1884792,8217486.26470588,1722326.08823529,6495160.17647059,8,1655435.29411765,60606.0147058824,89.5,3789,20,5187069,1759015.4974695,
