total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,device
3806456,338406.76635514,1395.20093457944,1090780.48598131,1884792,16158400.3738318,5721191.3271028,10437209.046729,8,1710235.51401869,1621.19626168224,345.518691588785,3810,20,24265,31943.0821058411,lg300
3806456,349621.27014218,1405.88151658768,1090526.42654028,1884792,16268508.0189573,5677801.17535545,10590706.8436019,8,1715078.67298578,4385.04739336493,359.549763033175,3810,21,23352,31989.5451127962,lg300
3806456,348942.566037736,1405.39150943396,1090806.16981132,1884792,16276634.3773585,5699896.18867925,10576738.1886792,8,1716316.98113208,7079.99056603774,362.415094339623,3810,22,23263,32121.5855139623,lg300
3806456,342179.603773585,1399.28301886792,1091308.37735849,1884792,16304077.509434,5100202.71698113,11203874.7924528,8,1713962.26415094,9761.85377358491,333.839622641509,3750,23,23310,29181.7560141509,lg300
3806456,346400.962264151,1402.5141509434,1090377.16981132,1884792,16262659.1698113,5410097.32075472,10852561.8490566,8,1716769.81132075,12446.0613207547,349.462264150943,3750,24,23279,30506.7451768868,lg300
3806456,350282.873239437,1406.32863849765,1090389.6713615,1884792,16299071.7746479,5454379.8685446,10844691.9061033,8,1710422.53521127,15119.4882629108,342.056338028169,3750,25,23301,29888.4552464789,lg300
3806456,350096.056338028,1406.16431924883,1090412,1884792,16304440.1502347,5288103.66197183,11016336.4882629,8,1714298.5915493,17790.3943661972,347.971830985916,3750,26,23389,30520.1743309859,lg300
3806456,349854.433962264,1405.90566037736,1090445.98113208,1884792,16249007.8113208,6076338.11320755,10172669.6981132,8,1716498.11320755,20458.4764150943,322.816037735849,3751,27,23247,28149.3961140991,lg300
3806456,336118.915555556,1392.84888888889,1090792.01777778,1884792,14224037.0844444,4516867.98222222,9707169.10222222,8,1713749.33333333,23307.4044444444,324.324444444444,3751,28,30911,37604.4985762356,lg300
3806456,311614.704225352,1369.32394366197,1091172.1314554,1884792,16234347.0046948,5843716.20657277,10390630.7981221,8,1714118.30985916,26182.8122065728,343.178403755869,3751,29,23271,29955.8784813944,lg300
3806456,318009.558685446,1375.41784037559,1091037.99061033,1884792,16255694.8356808,5488099.07981221,10767595.7558685,8,1716191.54929577,28855.0938967136,333.267605633803,3729,30,23346,29013.3559282817,lg300
3806456,308103.172413793,1367.04980842912,1092248.79693487,1884792,11554194.8199234,3274668.99616858,8279525.82375479,8,1699383.90804598,32375.6475095785,237.605363984674,3729,31,773593,685426.917005575,lg300
3806456,241737.067961165,1313.23300970874,1103350.0776699,1884792,15131319.6504854,4462044.31067961,10669275.3398058,8,1712341.74757282,1582.34951456311,290.742718446602,3874,20,24275,27341.8377453883,lg300
3806456,262133.464788732,1333.31455399061,1103806.1971831,1884792,16109695.4366197,5306783.4741784,10802911.9624413,8,1717723.94366197,4458.55399061033,329.150234741784,3874,20,70885,90387.4489455869,lg300
3806456,261826.340611354,1333.24454148472,1103966.3231441,1884792,14282650.6550218,4798182.14847162,9484468.50655022,8,1718861.13537118,7484.59825327511,308.28384279476,3802,20,44595,52269.5841197817,lg300
3806456,247866.077669903,1319.73786407767,1104083.82524272,1884792,16243442.2524272,5254711.33980583,10988730.9126214,8,1717095.14563107,10393.2718446602,330.199029126214,3770,20,23320,29029.9099242718,lg300
3806456,245170.56,1317.24444444444,1104222.24,1884792,14857432.8533333,5252705.63555556,9604727.21777778,8,1713578.66666667,13491.8,310.391111111111,3770,20,117466,137455.716511822,lg300
3806456,236467.773584906,1308.64622641509,1104160.62264151,1884792,16311438.3396226,5395629.88679245,10915808.4528302,8,1717403.77358491,16270.0801886792,348.334905660377,3754,20,23276,30436.8436136226,lg300
3806456,241314.587064677,1313.33830845771,1104180.7960199,1884792,15064520.079602,4268949.01492537,10795571.0646766,8,1698674.62686567,18888.184079602,288.52736318408,3799,20,26174,28689.7258599204,lg300
3806456,236310.09009009,1311.23873873874,1106990.28828829,1884792,15140448.3243243,4929277.69369369,10211170.6306306,8,1721167.56756757,21884.1441441441,321.09009009009,3751,20,135352,163019.157212901,lg300
3806456,257768.432432432,1332.36936936937,1107199.00900901,1884792,14902688.2522523,4862324.54054054,10040363.7117117,8,1715372.97297297,24821.4369369369,274.95045045045,3751,20,59618,61486.376827036,lg300
3806456,268944.450704225,1343.34741784038,1107229.78403756,1884792,16330767.4366197,5997908.80751174,10332858.629108,8,1716281.69014085,27651.3474178404,328.464788732394,3751,20,23338,28754.0828591268,lg300
3806456,268241.333333333,1342.54929577465,1107152,1884792,16340777.7276995,5180364.58215962,11160413.1455399,8,1713757.74647887,30328.8497652582,339.31455399061,3751,20,23382,29759.8822331831,lg300
3806456,266644.769953052,1340.97183098592,1107172.03755869,1884792,16294686.7981221,5766917.48356808,10527769.314554,8,1711774.64788732,33007.779342723,344.704225352113,3751,20,23354,30196.3845182535,lg300
3806456,249747.687242798,1325.06995884774,1107657.8600823,1884792,12336641.0864198,3550451.85185185,8786189.2345679,8,1704296.2962963,36190.9259259259,230.123456790123,3797,20,1258166,1099358.73418864,lg300
3806456,239170.779342723,1315.23474178404,1108194.55399061,1884792,16306185.1267606,5627982.34741784,10678202.7793427,8,1715830.98591549,39344.1596244131,347.596244131455,3765,20,23337,30541.1286130986,lg300
3806456,254428.976525822,1330.00938967136,1108097.97183099,1884792,16295732.2441315,5567804.73239437,10727927.5117371,8,1711954.92957746,42012.9389671362,333.647887323944,3794,20,23293,29485.6789484225,lg300
3806456,253249.44600939,1328.90610328639,1108132.01877934,1884792,16308334.1596244,5720688.37558685,10587645.7840376,8,1709250.70422535,44675.79342723,349.159624413146,3794,20,23268,30823.3898583662,lg300
3806456,268787.535714286,1344.29910714286,1108269.78571429,1884792,14954931.5,4440709.21428571,10514222.2857143,8,1711714.28571429,47565.4285714286,270.955357142857,3794,20,37172,38212.9879205,lg300
3806456,271152.186046512,1346.59534883721,1108285.00465116,1884792,16308699.7209302,4961930.93953488,11346768.7813953,8,1716926.51162791,50399.3674418605,339.93488372093,3757,20,23445,29942.4384715814,lg300
3806456,268320.018691589,1343.64018691589,1108231.71962617,1884792,16308446.2056075,5177363.14018692,11131083.0654206,8,1714183.17757009,53084.6728971963,338.014018691589,3757,20,23471,29806.2610618925,lg300
3806456,266210.741784038,1341.68075117371,1108256.88262911,1884792,16259388.4694836,5753246.34741784,10506142.1220657,8,1713847.88732394,55763.7089201878,345.399061032864,3797,20,23320,30583.7190741784,lg300
3806456,262556.560747664,1338.11682242991,1108284.01869159,1884792,16296052.7476636,5559075.36448598,10736977.3831776,8,1713106.54205607,58439.738317757,343.88785046729,3797,20,23376,30523.0289244112,lg300
3806456,260751.868544601,1336.39436619718,1108303.90610329,1884792,16308329.4647887,5568175.28638498,10740154.1784038,8,1708529.57746479,61113.5305164319,338.455399061033,3797,20,23348,30004.8685276807,lg300
