total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3894800,263307.766423358,1411.65328467153,1182703.66423358,1942304,17533493.1386861,5791775.06569343,11741718.0729927,8,2297218.97810219,2719.60583941606,294.138686131387,4315,20,34070,43241.9312324818,
3894800,242968.523809524,1396.0873015873,1187158.07936508,1942304,18521922.6666667,5069811.87301587,13452110.7936508,8,2301000,7229.43253968254,279.265873015873,4324,20,30925,37343.3487599206,
3894800,267235.822222222,1422.61481481481,1190130.78518519,1942304,18667453.6888889,5065838.72592593,13601614.962963,8,2299196.2962963,11861.0703703704,283.048148148148,4307,20,33198,40471.2958425111,
3894800,258608.652173913,1419.89855072464,1196001.71014493,1942304,18805374.2028986,4850334.89855072,13955039.3043478,8,2300688.4057971,16702.2427536232,322.717391304348,4323,20,33658,46956.5209180435,
3894800,300468.705882353,1467.65966386555,1202875.39495798,1942304,11427248.6722689,2764391.49579832,8662857.17647059,8,2197932.77310924,21181.9285714286,372.735294117647,4325,20,31914,51447.9258132353,
3894800,283210.996078431,1461.17647058824,1213587.16862745,1942304,16278461.8666667,4063960.50196078,12214501.3647059,8,2175345.09803922,25170.9411764706,233.839215686275,4293,20,49589,49780.9963566,
3894800,305198.338235294,1496.01102941176,1227284.27941176,1942304,7901868.32352941,1896405.58823529,6005462.73529412,8,1664952.20588235,30025.8713235294,115.227941176471,4293,20,263330,130262.38630875,
3894800,290289.926421405,1490.2474916388,1236236.29431438,1942304,8159043.39799331,1802639.75919732,6356403.63879599,8,1674234.11371237,35351.5351170569,136.672240802676,4291,20,452757,265524.135211555,
3894800,255044.818897638,1463.4094488189,1243949.00787402,1942304,8162107.68503937,1916999.65354331,6245108.03149606,8,1800000,40628.9921259843,106.799212598425,4291,20,37855,17348.0160717913,
3894800,282548.578947368,1499.87171052632,1253743.15789474,1942304,8589460.84210526,1665181.02631579,6924279.81578947,8,1571437.5,45947.8947368421,118.917763157895,4291,20,608513,310509.653650437,
3894800,258426.671096346,1480.33222591362,1257871.17607973,1942304,8228408.77076412,1626177.46179402,6602231.3089701,8,1544528.23920266,51945.1096345515,112.06976744186,4348,20,693936,338140.682214698,
3894800,248342.888178914,1453.66453674121,1240716.7284345,1942304,8209480.33226837,1637747.98722045,6571732.34504792,8,1557984.02555911,57853.7220447284,137.638977635783,4353,20,779381,466960.257137166,
3894800,232573.497942387,1441.53086419753,1244036.79012346,1942304,8659777.48148148,1797925.33333333,6861852.14814815,8,1800000,63394.4320987654,111.477366255144,4333,20,36049,17412.7999473786,
3894800,251881.314079422,1449.53429602888,1232851.58122744,1942304,9399974.98916968,1952455.59566787,7447519.39350181,8,1767433.21299639,68795.4981949458,150.606498194946,4331,20,261554,170605.591417083,
3894800,252846.288135593,1425.01271186441,1206919.01694915,1942304,15654724.9152542,5108620.20338983,10546104.7118644,8,2296754.23728814,72979.7966101695,341.046610169492,4341,20,26680,39499.295371017,
3894800,273968.309859155,1435.2676056338,1196220.50704225,1942304,19832656.1408451,6166743.83098592,13665912.3098592,8,2301000,76791.764084507,388.102112676056,4341,20,32626,54966.6949717817,
3894800,473669.776,1559.228,1123510.128,1942304,17051076.48,4789533.76,12261542.72,8,2290980,80460.74,323.588,4344,20,28410,39934.97878752,
3894800,499557.147058824,1585.55882352941,1124542.02941176,1942304,18857313.6764706,5444433.55882353,13412880.1176471,8,2298974.26470588,84498.7610294118,232.051470588235,4319,20,32535,32607.5628583456,
3894800,497898.184615385,1584.88076923077,1125452.01538462,1942304,12591615.9384615,2614021.04615385,9977594.89230769,8,1950550,89157.8346153846,173.157692307692,4299,20,94753,70534.5993118731,
3894800,482435.791821561,1570.65799256506,1126470.9739777,1942304,8289650.28996283,1664123.866171,6625526.42379182,8,1645044.60966543,94103.3159851301,127.052044609665,4299,20,433442,236744.607282402,
3894800,488760.325925926,1579.75925925926,1129591.85185185,1942304,18127011.1703704,5382953.36296296,12744057.8074074,8,2295511.11111111,3027.1,258.137037037037,4281,20,35343,39057.0069813,
3894800,487038.626865672,1578.08582089552,1129493.37313433,1942304,18538435.4925373,5141988.95522388,13396446.5373134,8,2299791.04477612,8010.68656716418,259.869402985075,4281,20,33420,37179.7805518657,
3894800,483044.651515151,1574.25757575758,1129504.72727273,1942304,18883935.8484848,4862555.3030303,14021380.5454545,8,2300348.48484848,12798.9886363636,257.935606060606,4314,20,32592,36266.2331945455,
3894800,483812.07518797,1575.00751879699,1129513.66917293,1942304,19027640.3609023,5094571.33834586,13933069.0225564,8,2300676.69172932,17530.015037594,259.169172932331,4314,20,32537,36378.1819560226,
3894800,484140.476534296,1575.31768953069,1129530.39711191,1942304,18854811.5234657,4853726.38267148,14001085.1407942,8,2300379.06137184,22318.3140794224,260.400722021661,4311,20,33584,37700.9790243466,
3894800,497171.267175573,1588.20229007634,1129547.77099237,1942304,18814270.5343511,4874589.00763359,13939681.5267176,8,2301000,26986.9694656489,259.270992366412,4299,20,31706,35339.6977149847,
3894800,505993.429657795,1596.76045627376,1129592.80608365,1942304,19219585.8555133,4924674.15969582,14294911.6958175,8,2301000,31579.9163498099,261.174904942966,4299,20,31717,35611.5594938669,
3894800,503077.563218391,1593.99233716475,1129781.25670498,1942304,19363726.4367816,4722933.6091954,14640792.8275862,8,2301000,36145.1111111111,261.022988505747,4310,20,31513,35452.4111525287,
3894800,502834.978417266,1593.78776978417,1129800.04316547,1942304,19263640.3741007,4817973.09352518,14445667.2805755,8,2301000,40840.3237410072,259.302158273381,4308,20,33457,37373.9347086906,
3894800,510793.864768683,1601.48754448399,1129804.95373665,1942304,18989217.7081851,5303256,13685961.7081851,8,2300693.95017794,45642.3629893239,261.081850533808,4308,20,33875,38100.5882348754,
3894800,522874.158490566,1613.83018867925,1130099.47169811,1942304,18578575.1245283,5201404.76981132,13377170.354717,8,2300675.47169811,50435.8679245283,263.905660377358,4303,20,31875,36196.8055542453,
3894800,482649.038167939,1583.18320610687,1139151.74045802,1942304,18102376.0610687,5067782.29007634,13034593.7709924,8,2300381.67938931,54789.4580152672,284.248091603053,4300,20,31053,37955.0507507634,
