total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
5750640,535194.456140351,2148.31578947368,1666044.56140351,2097148,11279895.7017544,2491160.12280702,8788735.57894737,8,2225736.84210526,631.684210526316,-612.421052631579,3781,20,34352,79544.254528,note9
5750640,557166.327272727,2171.21818181818,1666788.29090909,2097148,11001487.1090909,2311755.18181818,8689731.92727273,8,2178090.90909091,1647.56363636364,-1023,3654,20,27435,102553.18227,note9
5750640,671487.228070175,2284.56140350877,1668284,2097148,10889954.1052632,2678068.35087719,8211885.75438597,8,2218210.52631579,2651.77192982456,-1023,3654,20,30843,115292.429406,note9
5750640,667995.457627119,2282.01694915254,1669650.50847458,2097148,11395851.7627119,2317066.27118644,9078785.49152543,8,2170779.66101695,3657.08474576271,-1008.01694915254,3654,20,33863,124727.382426203,note9
5750640,663704.156862745,2278,1669669.7254902,2097148,14188290.3921569,3161045.52941176,11027244.8627451,8,2227333.33333333,4502.13725490196,-989,3654,20,63087,227984.179122,note9
5750640,628558.896551724,2264.41379310345,1690405.65517241,2097148,11710489.8275862,2722723.34482759,8987766.48275862,8,2056465.51724138,5337.24137931035,-989,3654,20,6897,24924.419982,note9
5750640,603601.777777778,2250.64814814815,1701780.74074074,2097148,11057408.0925926,2194875.5,8862532.59259259,8,2254296.2962963,6188.87037037037,-1031.96296296296,3654,20,6483,24446.048858,note9
5750640,593822,2244.08928571429,1704299.42857143,2097148,10893084,2317623,8575461,8,2249464.28571429,7048.08928571429,-1134,3644,20,6544,27041.745024,note9
5750640,598165.491525424,2250.03389830508,1706324.61016949,2097148,11257208.8135593,1927543.72881356,9329665.08474576,8,2171661.01694915,8004.61016949152,-1134,3644,20,6614,27331.005744,note9
5750640,586859.862068966,2243.18965517241,1710365.24137931,2097148,11046608.8275862,2501899.31034483,8544709.51724138,8,2101068.96551724,8952.18965517241,-1048.55172413793,3644,20,5353,20453.3980502069,note9
5750640,613285.333333333,2272.21052631579,1713947.01754386,2097148,10944938.1052632,2052433.40350877,8892504.70175439,8,2225052.63157895,9927.49122807018,-898,3644,20,6420,21008.24304,note9
5750640,611534.101694915,2270.61016949153,1713955.18644068,2097148,11019147.4745763,2702207.94915254,8316939.52542373,8,2226084.74576271,10904.8474576271,-898,3644,20,5584,18272.590208,note9
5750640,602110.385964912,2261.36842105263,1714156.56140351,2097148,11123785.9298246,2274048.10526316,8849737.8245614,8,2212052.63157895,11854.4385964912,-962.666666666667,3644,20,6327,22194.846048,note9
5750640,601337.152542373,2260.94915254237,1714337.08474576,2097148,10938518.5084746,2230000,8708518.50847458,8,2208898.30508475,12834.8644067797,-1092,3644,20,6602,26270.995296,note9
5750640,600505.517241379,2259.75862068966,1714353.79310345,2097148,11234660.5517241,2321062.75862069,8913597.79310345,8,2133120.68965517,13822.9827586207,-1092,3644,20,6393,25439.332464,note9
5750640,594850.206896552,2255.48275862069,1715527.24137931,2097148,11270452.5862069,2138887.06896552,9131565.51724138,8,2160465.51724138,14789.7068965517,-1101.8275862069,3644,20,6440,25856.9846234483,note9
5750640,588464.377358491,2250.66037735849,1716943.69811321,2097148,10713129.9622642,2170426.41509434,8542703.54716981,8,2237716.98113208,15634.5660377358,-1122,3644,20,6544,26755.588992,note9
5750640,539240.642857143,2207.26785714286,1721291.85714286,2097148,10878335.7142857,2651905.71428571,8226430,8,2218821.42857143,16438.3392857143,-1122,3644,20,6386,26109.595248,note9
5750640,531758.644067797,2200.30508474576,1722125.96610169,2097148,11873802.5932203,2415167.20338983,9458635.38983051,8,2159101.69491525,17384.3389830508,-1166.1186440678,3644,20,6639,28211.3439545085,note9
5750640,537718.576271187,2207.06779661017,1723026.84745763,2097148,11143039.8305085,2068728.91525424,9074310.91525424,8,2153593.22033898,18366.4406779661,-1259,3644,20,6494,29793.147224,note9
5750640,538871.5,2208.76785714286,1723097,2097148,11049196.7678571,2619150.91071429,8430045.85714286,8,2231125,19341.1607142857,-1259,3644,20,6392,29325.192032,note9
5750640,555190.066666667,2224.43333333333,1723213.53333333,2097148,10893730.9166667,3277167.31666667,7616563.6,8,2112500,20277.9,-1223.86666666667,3644,20,5491,24488.5978021333,note9
5750640,552759.724137931,2222.5,1723781.5862069,2097148,10901727.2413793,2617996.06896552,8283731.17241379,8,2200586.20689655,21261.6896551724,-1135,3651,20,6177,25596.777645,note9
5750640,549804.068965517,2220.22413793103,1724355.31034483,2097148,11261988.7241379,1935894.79310345,9326093.93103448,8,2239362.06896552,22217.7931034483,-1135,3651,20,6570,27225.32445,note9
5750640,542777.24137931,2213.36206896552,1724375.65517241,2097148,12238013.9482759,1897013.12068966,10341000.8275862,8,2202379.31034483,23166.8620689655,-1095.1724137931,3651,20,6662,26637.8370041379,note9
5750640,539263,2209.96153846154,1724392,2097148,11646934.0961538,2561831.01923077,9085103.07692308,8,2264000,23997.7307692308,-981,3651,20,6301,22567.856931,note9
5750640,537000.542372881,2209.96610169492,1726757.96610169,2097148,11936077.8644068,2342054.13559322,9594023.72881356,8,2235118.6440678,24868.2372881356,-981,3651,20,6599,23635.182969,note9
5750640,504217.12,2179.14,1727875.04,2097148,49435121.96,6049885.8,43385236.16,8,2407860,25710.88,-1003.56,3651,20,6479,23739.04019124,note9
5750640,535447.586206897,2209.87931034483,1728336.62068966,2097148,11450540.3448276,3038534.96551724,8412005.37931035,8,2180637.93103448,26530.775862069,-1357,3651,20,6473,32069.876511,note9
5750640,547689.586206897,2221.89655172414,1728338.62068966,2097148,10788365.1034483,2328554.20689655,8459810.89655172,8,2217396.55172414,27497.3103448276,-1357,3651,20,6409,31752.794463,note9
5750640,605010.105263158,2278.10526315789,1728468.63157895,2097148,11019400.4035088,2191840.8245614,8827559.57894737,8,2259263.15789474,28482.0526315789,-1221.84210526316,3651,20,5386,24026.6526047368,note9
5750640,593544.137931034,2267.58620689655,1728569.24137931,2097148,10844280.6896552,2277184.68965517,8567096,8,2195879.31034483,29442.1724137931,-715,3651,20,6628,17302.16202,note9
5750640,584044.620689655,2258.18965517241,1728738.13793103,2097148,11372005.3103448,2341871.93103448,9030133.37931035,8,2218741.37931034,30413.6896551724,-715,3651,20,5297,13827.633105,note9
5750640,541553.793103448,2226.68965517241,1739174.96551724,2097148,10984602.3448276,2785463.44827586,8199138.89655173,8,2182206.89655172,31372.3965517241,-783.844827586207,3651,20,6488,18567.4717162759,note9
5750640,539420.75862069,2225.25862068966,1739802,2097148,11054258.8448276,3076131.39655172,7978127.44827586,8,2243172.4137931,32343.1034482759,-1078,3651,20,6545,25759.66701,note9
5750640,505458.509803922,2192.11764705882,1739859.68627451,2097148,50581171.7058824,3655644.17647059,46925527.5294118,8,2292078.43137255,33165.2352941177,-1078,3651,20,6466,25448.740548,note9
5750640,542972.754716981,2228.75471698113,1740034.86792453,2097148,10617023.6415094,1889305.60377358,8727718.03773585,8,2265433.96226415,33907.5094339623,-1082.77358490566,3651,20,6510,25735.3733937736,note9
5750640,550019.186440678,2235.71186440678,1740068,2097148,10805763.8813559,2479918.05084746,8325845.83050847,8,2252525.42372881,34773.8474576271,-1331,3640,20,6482,31404.25288,note9
5750640,570168.745762712,2255.33898305085,1740068,2097148,11066285.9491525,2241504.93220339,8824781.01694915,8,2232915.25423729,35737.406779661,-1331,3640,20,6502,31501.14968,note9
5750640,573486.275862069,2258.86206896552,1740140.82758621,2097148,10758515.5862069,2739004,8019511.5862069,8,2228379.31034483,36716.7068965517,-1305.34482758621,3640,20,6517,30965.2333586207,note9
5750640,567744.326530612,2253.34693877551,1740308.40816327,2097148,21148868.122449,6888177.34693878,14260690.7755102,8,2285346.93877551,37515.8571428571,-1145,3640,20,5367,22368.5826,note9
5750640,545357.725490196,2231.82352941176,1740340.15686275,2097148,48242457.254902,6995037.80392157,41247419.4509804,8,2420039.21568627,38198.3921568627,-1145,3640,20,5475,22818.705,note9
