total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy
7819104,452277.735849057,3107.45911949685,2730344.35220126,2097148,7841645.74842767,1226913.87421384,6614731.87421384,8,2344573.58490566,1302.94968553459,649.100628930818,3942,20,8193,20963.8770870566
7819104,437210.523076923,3093.46923076923,2731146.06153846,2097148,7742129.80769231,789120.146153846,6953009.66153846,8,1957218.46153846,2449.51538461538,557.353846153846,3942,20,5971,13118.8175922462
7819104,328722.868292683,2989.6,2733220.62439024,2097148,6004861.82439024,388623.580487805,5616238.24390244,8,1808920.97560976,4844.70243902439,522.463414634146,3942,20,5967,12289.3395071707
7819104,291644.019512195,2954.91219512195,2734697.83414634,2097148,6006432.02926829,420630.273170732,5585801.75609756,8,1798150.24390244,8224.32195121951,486.229268292683,3936.90731707317,20,6052,11584.9778420336
7819104,291462.076190476,2955.53333333333,2735613.33333333,2097148,6101148.83333333,419139.195238095,5682009.63809524,8,1769874.28571429,11648.9761904762,443.419047619048,3924,20,6935,12066.7359377143
7819104,286283.52,2950.60333333333,2735663.96,2097148,5777756.28666667,370941.006666667,5406815.28,8,1768576,16095.1466666667,411.84,3924,20,21200,34260.475392
7819104,285376.436860068,2949.98976109215,2735933.80204778,2097148,5944828.99317406,358597.375426621,5586231.61774744,8,1778653.92491468,19358.4914675768,428.638225255973,3924,20,20742,34887.5544038498
7819104,293496.561643836,2959.38698630137,2737431.06849315,2097148,6081766.35273973,397864.462328767,5683901.89041096,8,1803813.69863014,22614.1678082192,484.277397260274,3923.54452054794,20,20328,38624.9060974456
7819104,303586.075085324,2968.32423208191,2736523.76791809,2097148,6018384.03754266,518062.399317406,5500321.63822526,8,1823475.76791809,25386.6928327645,496.447098976109,3914.34470989761,20,20416,39673.6997838814
7819104,434672.993103448,3028.51379310345,2667079.5862069,2097148,7326743.97586207,989123.286206897,6337620.68965517,8,2285197.24137931,14388.2482758621,585.610344827586,3895.86206896552,20,19836,45254.9836228966
7819104,212035.552631579,2790.30263157895,2645691.86842105,2097148,5587179.11842105,405075.27631579,5182103.84210526,8,2104926.31578947,23473.2105263158,665.302631578947,3857,20,20246,51952.6987735
7819104,180620.363636364,2765.2012987013,2651455.06493506,2097148,5407301.81168831,395650.798701299,5011651.01298701,8,2024228.57142857,26891.3896103896,743.922077922078,3860,20,20371,58496.1254664935
7819104,117262.091503268,2709.71895424837,2658011.81699346,2097148,5356147.33986928,363268.124183007,4992879.21568627,8,2033568.62745098,30374,731.137254901961,3836,20,20611,57806.4867695686
7819104,116545.197278912,2711.89115646259,2660980.84353741,2097148,5573194.59183673,418278.891156463,5154915.70068027,8,1922612.24489796,33764.4285714286,664.43537414966,3836,20,20006,50990.7745493333
7819104,110033.934640523,2710.69281045752,2666228.20915033,2097148,5689300.90849673,423286.738562091,5266014.16993464,8,1926400,37158.3333333333,665.529411764706,3832,20,20607,52554.2115021176
7819104,98849.4901960784,2702.86928104575,2669363.03267974,2097148,5542149.21568627,348953.973856209,5193195.24183006,8,1927027.45098039,40638.9411764706,655.052287581699,3832,20,20615,51746.9559453595
7819104,104581.777777778,2709.67973856209,2670560.31372549,2097148,5803876.50980392,361412.14379085,5442464.36601307,8,1957019.60784314,44051.4640522876,602.843137254902,3846,20,20455,47425.6274088235
7819104,108775.847133758,2704.85350318471,2661430.80254777,2097148,6390113.14012739,361067.076433121,6029046.06369427,8,1961457.32484076,47418.2738853503,560.28025477707,3842,20,20944,45083.9860985478
7819104,107133.972972973,2697.88513513513,2655918.75675676,2097148,5744058.51351351,443591.27027027,5300467.24324324,8,1930118.91891892,50684.1554054054,643.763513513514,3842,20,19723,48781.6733593378
