total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
5716056,77043.7234042553,1247.1329787234,1200472.44680851,2621436,9372125.05319149,780578.79787234,8591546.25531915,8,2140902.12765957,1867.33510638298,657.154255319149,3913,20,6012,15459.5249415957,
5716056,77182.905982906,1256.47863247863,1210151.45299145,2621436,10124074.5213675,873961.769230769,9250112.75213675,8,2313846.15384615,3686.99145299145,708.435897435898,3913,20,6686,18534.3252313333,
5716056,70485.0841121495,1255.75700934579,1216127.10280374,2621436,12788376.1962617,1421508.68224299,11366867.5140187,8,2310459.81308411,5034.54205607477,697.915887850467,3913,20,23153,63229.5665556355,
5716056,72764.1509433962,1255.62264150943,1213716.94339623,2621436,12924598.4339623,1598895.64150943,11325702.7924528,8,2317584.90566038,6673.74528301887,702.877358490566,3913,20,22430,61690.5546976415,
5716056,83522.1851851852,1266.64814814815,1214217.96296296,2621436,13204421.2037037,2173146.98148148,11031274.2222222,8,2320177.77777778,8269.37037037037,698.037037037037,3913,20,21436,58550.6960961482,
5716056,91045.5238095238,1279.48571428571,1219870.93333333,2621436,13543577.2,2474050.64761905,11069526.552381,8,2320091.42857143,9843.87619047619,689.2,3913,20,5959,16070.4671764,
5716056,86128.7547169811,1279.03773584906,1224280.98113208,2621436,13639977.9811321,1963822.28301887,11676155.6981132,8,2323200,11398.0188679245,683.216981132076,3913,20,5176,13837.6635721509,
5716056,77652.9714285714,1274.63571428571,1228216.8,2621436,13800860.7214286,1649562.83571429,12151297.8857143,8,2322377.14285714,13491.4857142857,687.728571428571,3913,20,5308,14284.2627252,
5716056,74051.2037037037,1264.54166666667,1221526.35185185,2621436,12837557.9768519,1770873.4212963,11066684.5555556,8,2315200,10079.7685185185,701.287037037037,3913,20,5217,14316.1584298056,
5716056,75939.4791666667,1263.29166666667,1218373.77083333,2621436,13148459.5364583,1844099.74479167,11304359.7916667,8,2314800,8783.11979166667,705.03125,3913,20,5207,14365.0053734687,
5716056,100859.353535354,1292.43434343434,1222913.93939394,2621436,11196023.8282828,1703480.07070707,9492543.75757576,8,2021430.3030303,32050.9191919192,508.434343434343,3831,20,5193,10114.9875586364,
5716056,95575.3796791444,1244.11229946524,1178928.98395722,2621436,7220940.84491979,704898.320855615,6516042.52406417,8,2082224.59893048,37221.5882352941,664.909090909091,3831,20,5196,13235.5979149091,
5716056,102254.867924528,1233.8679245283,1161796.64150943,2621436,11929010.245283,1937406.16981132,9991604.0754717,8,2071064.1509434,39951.4811320755,600.216981132076,3831,20,5252,12076.6129497736,
5716056,74506.8711656442,1225.29447852761,1180771.4601227,2621436,7588145.91411043,800705.914110429,6787440,8,1804800,46095.6748466258,335.294478527607,3831,20,5311,6822.04932498773,
5716056,67887.572327044,1229.85534591195,1192008.90566038,2621436,7603129.05031447,719615.238993711,6883513.81132075,8,1804800,49575.7987421384,326.830188679245,3831,20,5221,6537.14337022642,
5716056,69194.15,1241.625,1202734.35,2621436,7839994.85625,930593.75625,6909401.1,8,1804800,53020.55,325.425,3831,20,5056,6303.3312528,
5716056,79588.459770115,1233.06896551724,1183599.08045977,2621436,7898654.36206897,971237.856321839,6927416.50574713,8,1925627.5862069,59807.275862069,490.275862068966,3831,20,22078,41467.9334594483,
5716056,128022.116591928,1435.68161434978,1342670.61883408,2621436,8862997.19730942,864254.596412556,7998742.60089686,8,1931623.31838565,63446.0896860987,585.72197309417,3831,20,23026,51668.0616380987,
5716056,83234.6,1542.68333333333,1497054.06666667,2621436,13371429.4166667,1179506.61666667,12191922.8,8,2305920,65532.7,776.216666666667,3831,20,21958,65296.1982859,
5716056,79330.8363636364,1544.07272727273,1502301.16363636,2621436,13102697.2727273,1258913.85454545,11843783.4181818,8,2323200,66408.8545454545,677.418181818182,3831,20,21557,55944.4904488364,
5716056,84707,1555.88461538462,1509115.92307692,2621436,14434622.8653846,2638781.78846154,11795841.0769231,8,2320984.61538462,67992.5576923077,637.826923076923,3831,20,22261,54395.0861307115,
5716056,87403.7090909091,1560.25454545455,1510960.43636364,2621436,12825611.7090909,1849483.12727273,10976128.5818182,8,2323200,68795.7818181818,669.218181818182,3873,20,22550,58446.93951,
5716056,84382.5263157895,1559.24561403509,1512982.59649123,2621436,13035945.6491228,1408641.22807018,11627304.4210526,8,2323200,69636.1228070175,638.438596491228,3873,20,21708,53676.7786288421,
5716056,76368.0727272727,1556.38181818182,1517989.45454545,2621436,13303943.2181818,2120301.61818182,11183641.6,8,2302254.54545455,70461.1272727273,683.090909090909,3873,20,21073,55750.9625187273,
5716056,83954.2745098039,1570.49019607843,1524843.21568627,2621436,15141007.9019608,1402005.54901961,13739002.3529412,8,2323200,72049.4901960784,648.490196078431,3873,20,21067,52911.9304871177,
5716056,78160,1569.15094339623,1529253.81132075,2621436,14575235.8490566,2158017.43396226,12417218.4150943,8,2316679.24528302,72807.1132075472,634.245283018868,3873,20,23264,57146.4336090566,
5716056,74119.2307692308,1567.59615384615,1531793.84615385,2621436,13893302.3846154,1801817,12091485.3846154,8,2323200,73562.9615384615,631.692307692308,3873,20,25436,62230.3010104615,
5716056,77781.8039215686,1568.6862745098,1529133.41176471,2621436,14581876.3921569,2597898.98039216,11983977.4117647,8,2323200,74315.7058823529,655.235294117647,3873,20,22920,58164.6866611765,
5716056,81419.2142857143,1567.66071428571,1524594.07142857,2621436,13202278.4285714,1706631.57142857,11495646.8571429,8,2323200,75130.1964285714,625.642857142857,3873,20,22410,54302.0023478571,
