total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3697308,242192.518518519,1460.88888888889,1254527.48148148,2097148,10783941.1481481,2494762.33333333,8289178.81481481,8,2203259.25925926,2457.37037037037,-360.5,3832,20,6168,8520.697248,s9
3697308,219576.549019608,1439.21568627451,1254888.62745098,2097148,42070777.8431373,5089476.35294118,36981301.4901961,8,2395313.7254902,3284.64705882353,-1073,3577,20,5489,21067.446169,s9
3697308,249280.631578947,1468.80701754386,1255636.35087719,2097148,11627459.0877193,2740515.36842105,8886943.71929824,8,2231666.66666667,4146.19298245614,-1073,3577,20,6454,24771.232934,s9
3697308,248192.509090909,1469.94545454545,1257008.36363636,2097148,11027678.6363636,2848652.89090909,8179025.74545455,8,2206927.27272727,5100.8,-1135.34545454545,3577,20,6205,25199.3159370909,s9
3697308,245159.01754386,1466.19298245614,1257103.36842105,2097148,10942772.7368421,2225798.98245614,8716973.75438596,8,2243754.38596491,6043.31578947368,-1200,3577,20,6529,28025.0796,s9
3697308,237239.36,1458.76,1257251.28,2097148,15914184.42,1813128.9,14101055.52,8,2202720,6877.14,-1200,3577,20,5256,22560.8544,s9
3697308,239805.466666667,1461.18333333333,1257270.4,2097148,12348503.9833333,2839977.18333333,9508526.8,8,2198516.66666667,7729.8,-1040.01666666667,3577,20,6661,24779.8499866167,s9
3697308,238052.98245614,1459.73684210526,1257355.29824561,2097148,11445413.6140351,2213614.45614035,9231799.15789474,8,2263140.35087719,8705.94736842105,-869,3577,20,6422,19962.228286,s9
3697308,235666.175438596,1457.43859649123,1257424,2097148,10856115.2280702,2497676.35087719,8358438.87719298,8,2246035.0877193,9703.36842105263,-869,3577,20,6478,20136.299414,s9
3697308,233956.296296296,1455.81481481481,1257314.81481481,2097148,13111919.7592593,4132644.94444444,8979274.81481482,8,2195796.2962963,10624.1481481481,-972.481481481482,3577,20,6111,21257.5184103333,s9
3697308,253664.444444444,1474.88888888889,1257438,2097148,12575367.2962963,3515359.88888889,9060007.40740741,8,2279574.07407407,11516.1111111111,-1123,3565,20,6146,24605.48027,s9
3697308,251540,1472.625,1257441.21428571,2097148,12987547.1071429,3487149.25,9500397.85714286,8,2213714.28571429,12434.1785714286,-1123,3565,20,6298,25214.01151,s9
3697308,249078.769230769,1470.44230769231,1257444,2097148,10648464.1346154,2336432.28846154,8312031.84615385,8,2260250,13272.8269230769,-1151.61538461538,3565,20,5420,22251.8579461538,s9
3697308,241582.807017544,1463.24561403509,1257462.1754386,2097148,11405816.0877193,3009614.68421053,8396201.40350877,8,2196771.92982456,14139.6140350877,-1216,3544,20,6541,28188.465664,s9
3697308,236763.593220339,1458.79661016949,1257642.16949153,2097148,11179021.1864407,2085994.74576271,9093026.44067797,8,2185542.37288136,15126.9491525424,-1216,3544,20,6611,28490.130944,s9
3697308,235391.034482759,1457.74137931034,1257688,2097148,11488720.362069,2558986.15517241,8929734.20689655,8,2223224.13793103,16107.775862069,-1174.62068965517,3544,20,6536,27208.4250129655,s9
3697308,226565.176470588,1449.45098039216,1258308.15686275,2097148,15494420.5882353,4552260.11764706,10942160.4705882,8,2207196.07843137,16922.0196078431,-1116,3606,20,5269,21204.015624,s9
3697308,222773.448275862,1446.24137931034,1259092.34482759,2097148,11692576.2758621,2406576.96551724,9285999.31034483,8,2265810.34482759,17772.275862069,-1116,3606,20,6504,26174.021184,s9
3697308,216382,1440.26785714286,1259156,2097148,12363438.7857143,2729891.07142857,9633547.71428572,8,2274535.71428571,18728.3571428571,-1085.28571428571,3606,20,6266,24522.2434302857,s9
3697308,210395.796610169,1434.4406779661,1259183.79661017,2097148,11326704.6779661,2607076.74576271,8719627.93220339,8,2252745.76271186,19700.5593220339,-1030,3606,20,6653,24710.43954,s9
3697308,204870,1429.03846153846,1259212.23076923,2097148,10819775.0384615,2716499.03846154,8103276,8,2188750,20571.8653846154,-1030,3606,20,5434,20182.85412,s9
3697308,202058.339622641,1426.37735849057,1259216,2097148,10840048.3962264,1648195.11320755,9191853.28301887,8,2253415.09433962,21327.6981132075,-1087.39622641509,3606,20,5488,21519.2755489811,s9
3697308,220236.701754386,1443.43859649123,1258794.87719298,2097148,10832843.7894737,2481547.36842105,8351296.42105263,8,2196087.71929825,22196.2280701754,-1264,3551,20,6454,28968.546656,s9
3697308,211361.153846154,1435,1258800.38461538,2097148,12447740.5384615,2176495.46153846,10271245.0769231,8,2267250,23040.9807692308,-1264,3551,20,5377,24134.470928,s9
3697308,209559.172413793,1433.51724137931,1258798.89655172,2097148,10994424.2758621,2768911.86206897,8225512.4137931,8,2264689.65517241,23882.5862068966,-1239.10344827586,3551,20,6509,28639.9667484828,s9
3697308,209621.543859649,1433.43859649123,1258803.92982456,2097148,10794621.8947368,2292483.50877193,8502138.38596491,8,2215017.54385965,24827.2456140351,-1188,3551,20,6283,26505.388404,s9
3697308,202954.915254237,1427.06779661017,1258802.91525424,2097148,11084434.1525424,2805454.3559322,8278979.79661017,8,2243711.86440678,25797.9152542373,-1188,3551,20,6569,27711.904572,s9
3697308,216238.035087719,1439.59649122807,1258829.47368421,2097148,12180662.6666667,2964340,9216322.66666667,8,2211824.56140351,26758.6666666667,-1100.91228070175,3551,20,6459,25250.4238871579,s9
