total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy
3779000,120636.666666667,1174.13541666667,1082180.9375,2076824,5443004.8125,387942.104166667,5055062.70833333,8,1663927.08333333,2655.80729166667,-157,3799,20,227272,135554.793496
3779000,125615.806451613,1170.73655913979,1073729.56989247,2076824,5703591.39247312,437511.73655914,5266079.65591398,8,1657123.65591398,7328.79569892473,-89.5591397849463,3799,20,792430,269612.557382043
3779000,130158.248756219,1179.12437810945,1077768.7761194,2076824,5892310.90547264,435575.303482587,5456735.60199005,8,1644955.2238806,11651.5174129353,-5,3803,20,270554,5144.58431
3779000,161543.06010929,1210.04371584699,1077954.8852459,2076824,5890553.87431694,399231.032786885,5491322.84153006,8,1644311.47540984,16034.2786885246,-5,3803,20,223310,4246.23965
3779000,168882.485436893,1216.95631067961,1077747.61165049,2076824,5986385.68446602,416523.975728155,5569861.70873786,8,1617097.08737864,20274.8495145631,-20.9902912621359,3803,20,186988,14926.5186113398
3779000,182308.926108374,1227.30541871921,1074937.35960591,2076824,6039904.58128079,467908.36453202,5571996.21674877,8,1641694.58128079,24645.2266009852,-23,3803,20,231651,20262.281319
3779000,178525.280898876,1223.68539325843,1074963.25842697,2076824,6139637.32022472,406194.578651685,5733442.74157303,8,1654820.2247191,28960.9662921348,-23,3803,20,119040,10412.30976
3779000,176439.980582524,1221.86893203884,1075168.23300971,2076824,6176086.76213592,458056.548543689,5718030.21359223,8,1644762.13592233,33102.1310679612,-72.8446601941748,3803,20,272149,75392.9592275825
3779000,182067.387978142,1227.72131147541,1075605.83606557,2076824,6540336.71038251,451017.409836066,6089319.30054645,8,1639661.20218579,37225.5792349727,-91,3803,20,177970,61590.61181
3779000,144338.01242236,1206.30434782609,1091427.08074534,2076824,6434943.1552795,474801.689440994,5960141.46583851,8,1661024.8447205,41465.9130434783,-5.85714285714286,3804,20,382941,8532.14430342857
3779000,134670.645833333,1199.18229166667,1093762.58333333,2076824,5612542.71875,403621.21875,5208921.5,8,1651906.25,45921.9479166667,-130.083333333333,3804,20,158154,78260.450898
3779000,146840.126315789,1205.43684210526,1088002.86315789,2076824,5722073.11578947,463578.042105263,5258495.07368421,8,1653068.42105263,50232.652631579,-175,3804,20,428355,285155.9235
3779000,144590.759358289,1194.92513368984,1079457.83957219,2076824,5834836.80213904,409451.946524064,5425384.85561497,8,1667647.05882353,54457.5080213904,-283.92513368984,3804,20,722175,779985.981539037
3779000,125111.565714286,1157.35428571429,1060487.29142857,2076824,7520094.66285714,789975.12,6730119.54285714,8,1648914.28571429,58444.1028571429,-164,3804,20,153132,95532.316992
3779000,143681.109947644,1125.41884816754,1009199.47643979,2076824,5746591.7434555,409527.157068063,5337064.58638744,8,1662528.79581152,62653.7696335079,-164,3804,20,299798,187030.781088
3779000,144509.535353535,1127.02525252525,1010065.43434343,2076824,6320884.76767677,449587.636363636,5871297.13131313,8,1654040.4040404,66776,-153.015151515152,3804,20,243215,141568.066608182
3779000,136782.02020202,1120.39393939394,1010973.27272727,2076824,6087909.87878788,485665.595959596,5602244.28282828,8,1662853.53535354,71195.4242424242,-149,3804,20,314241,178110.541836
3779000,127261.010752688,1111.08064516129,1010992,2076824,6297250.93010753,421318.543010753,5875932.38709677,8,1679569.89247312,75287.6021505376,-153.41935483871,3804,20,345481,201625.207978839
3779000,166402.157068063,1152.04712041885,1013753.44502618,2076824,6360392.87434555,405731.219895288,5954661.65445026,8,1664445.02617801,79603.6073298429,-76.0785340314136,3803,20,1124678,325399.334850545
3779000,153493.884615385,1140.31730769231,1014699.19230769,2076824,6468560.34134615,506787.264423077,5961773.07692308,8,1657447.11538462,83836.3317307692,-2,3803,20,252018,1916.848908
3779000,176620.941176471,1162.45989304813,1014213.5828877,2076824,5847919.81283423,382695.042780749,5465224.77005348,8,1656550.80213904,88082.0160427808,-4.4331550802139,3803,20,219695,3703.9014463369
3779000,185284.345177665,1170.02538071066,1013248.36548223,2076824,6062975.87817259,391989.401015228,5670986.47715736,8,1663568.52791878,92423.7055837563,-67,3803,20,543326,138440.008126
